sentence,intent
a ơi mà học ở đoạn nào a,School_Location
tr ở đoạn nào vậy a,School_Location
có phải khoa mình ở trên đường xuân thủy ko,School_Location
khoa mình vị trí chỗ nào ạ,School_Location
em ở hà đông không biết có gần khoa mình ko,School_Location
em ko biết khoa mình nằm ở đường nào,School_Location
add ơi cho e hỏi trường ở chỗ nào vậy ạ,School_Location
có gần hồ tùng mậu không ạ,School_Location
cho e địa chỉ chi tiết đk ko ạ,School_Location
vị trí của bạn ở đâu?,School_Location
dia chi cua truong?,School_Location
đâu là cơ sở chính ạ?,School_Location
địa chỉ củ thể của trường mình là ở đâu ạ,School_Location
địa chỉ ở đâu v ạ,School_Location
chính xác thì khoa mình ở chỗ nào vậy ad,School_Location
ad ơi địa chỉ trường mình là gì vậy ạ,School_Location
địa điểm chính xác của trg là ở đâu vậy ad?,School_Location
a ơi mà học ở đoạn nào a,School_Location
tr ở đoạn nào vậy a,School_Location
a ơi học tại trg à a,School_Location
add ơi cho e hỏi trường ở chỗ nào vậy ạ,School_Location
đc cụ thể của khoa mình ở đâu vậy ạ,School_Location
bạn cho mình hỏi khoa quốc tế - trường đhqghn nằm ở vị trí nào ạ o.o,School_Location
khoa mình nằm ở quận nào ạ,School_Location
khoa ở đoạn nào vậy ạ,School_Location
cho em xin địa chỉ liên hệ của trường nhé,School_Location
em ko biết vị trí của khoa chỗ nào,School_Location
a ơi học tại trg à a,Study_Location
học ở cơ sở xuân thuỷ đúng k ạ,Study_Location
vâng thế nếu học là học ở đhqghn hay ơ làng sinh viên ạ,Study_Location
"và ad ơi , bọn em học 2 năm ở hacinco thì năm thứ 3 bọn em có được chuyển sang xuân thủy ko ạ ?",Study_Location
học ở đâu vậy ad ??,Study_Location
lúc vào học thì học ở trường chỗ cầu giấy hay chỗ nguỵ như komtum thanh xuân ạ,Study_Location
cho e hỏi nếu học thì học ở cơ sở 1 hay cơ sở 2 ạ,Study_Location
nếu em thi vào kế toán thì học ở đâu ạ,Study_Location
ơ thế mới vào trường thì học ở đâu ạ,Study_Location
"ad ơi cho e hỏi, e thấy khoa mình chỗ địa chỉ có ghi 2 cơ sở, vậy k17 sẽ học ở địa chỉ nào ạ?",Study_Location
ad ơi cho em hỏi là sinh viên năm nhất của khoa mình khi học chính sẽ học ở cơ sở 1 hay cơ sở 2 ạ? mong ad trả lời giúp em,Study_Location
mà bọn e năm nhất học ở cơ sở nào z ad,Study_Location
c ơi sau này e học ở thanh xuân hay nguỵ như kon tum ạ,Study_Location
cho em hỏi nếu em học ngành kinh doanh quốc tế thì học ở cơ sở nào ạ ??,Study_Location
cho mình hỏi địa điểm học của lớp kinh doanh qt ở xuân thủy hay hacinco ?,Study_Location
khoa quốc tế xong học ở đâu ạ??,Study_Location
nếu nhập học thì sẽ học ở ở đâu ạ.,Study_Location
học khoa này thì địa điểm học ở đâu ạ,Study_Location
"ad oi, sao khoa quốc tế ở xuan thủy mà sao lại nhap hoc ở thanh xuân ạ.z học ở đâu ạ, có đc hoc ở xuan thủy k ạ??",Study_Location
phải học ở nguỵ như kp ạ,Study_Location
cho e hỏi mk học tại toà nào ạ,Study_Location
ad ơi cho e hỏi là khoa kdqt học tại cơ sở 1( xuân thủy cầu giấy) hay cơ sở 2(handico) thế ạ,Study_Location
thế mình có đến học ở xuân thuỷ không ạ,Study_Location
mình học chính ở đâu ạ,Study_Location
