sentence,intent
những chương trình nào dhqg hn cấp bằng a,Major_infor
"ad ơi, cho em biết những ưu tiên mà khoa dành cho sv tham gia nckh vs ạ?",Student_research
cho em hỏi sdt của phòng cthssv với ạ,contact_point
chỉ tiêu ngành ib năm nay có nhiều hơn năm trc k ad?,Admission_method
chị ơi chị cho em xin lịch thi placement test năm nay với ạ,Eng_condition
cho em hỏi : ac và ib có những môn nào học cùng nhau vậy,Major_infor
"ad ơi, tổng học phí chuyển tiếp 2 năm của trường help  là bao nhiêu ạ?",Major_infor
ice thì mỗi tín bao tiền vậy chị ơi ?,Tuition_fee
giá trị của học bổng ngoài đh quốc gia là bao nhiêu ạ?,Scholar
mã đăng kí của miss là gì ạ,Major_infor
để đc xét tuyển thẳng thì phải đáp ứng những đk gì vậy ad,Admission_method
và nếu xét bằng điểm thptqg thì mức điểm như thế nào ạ,Basic_point
cho mình hỏi về thời gian học của các chương trình liên kết,Major_infor
muốn hỏi lịch thi thì liê hệ vs ai ạ,contact_point
ai có thể tl những thắc mắc nhập học của em hả ad?, Enrollment
mình cảm ơn page,Bye
xin chào,Greetings
"ad ơi, em muốn tham gia dề tài nckh năm nay, ad gửi cho em xin danh sách đề tài nckh vs ạ?",Student_research
tham gia nckh mang lại cho em những lợi ích gì ạ?,Student_research
ý em là vậy đó,Agree
"ad ơi, năm nay khao mình có các đê ftaif nckh liên quan đến những lĩnh vực nào ạ?",Student_research
ad cho em hỏi kdqt thì mình học về gì ạ .,Major_infor
"ad ơi, tổng học phí chuyển tiếp 2 năm của trường đh troy  là bao nhiêu ạ?",Major_infor
con mình đạt giải olympic toán cấp quốc gia thì có đc xét tuyển thẳng vào khoa k?,Admission_method
ad ơi t7 này em muốn nghỉ thì có cần thiết phải làm đơn hay gì khác không ạ?!,Other
cho em xin mẫu đơn thôi học ạ,Asking_docs
sang mai nganh kinh doanh quoc te co lam thu tuc nhap hoc duoc ko a, Enrollment
mai nhập học thì lên ngụy như kon tum hả ad? có đc nhập học ở xuân thủy k ạ?, Enrollment
chị ơi cho e hỏi ngành hệ thống thông tin quản lý có lấy thừa chỉ tiêu k ạ,Admission_method
k đúng,Denydisagree
học phí các ngành thế nào nữa ạ,Tuition_fee
nooo,Denydisagree
tienf hoch mỗi tín chỉ thu bằng tiền việt hay tiền đô ah ?,Tuition_fee
ad cho e hoỉ mã ngành cuả kế toán kiểm toán với kinh doanh qtế dc k ạ,Major_infor
năm nay khoa mình nhận hồ sơ tại cơ sở nào vậy ad?, Enrollment
điểm trúng tuyển năm nay khoảng tầm bao nhiêu ạ,Basic_point
điểm thi thpt qg bao nhiêu thì trúng tuyển ib ạ,Basic_point
đối tượng đc tuyển thẳng thì đc học bổng bn ạ?,Scholar
chuyên ngành mis sau này làm gì ạ,Job_Opportunities
học bổng như nào vậy ạ,Scholar
mỗi tín ở khoa qt bao nhiêu vậy ạ,Tuition_fee
chào bạn mình muốn hỏi về khóa marketing và dự báo,Major_infor
nckh thì đc cộng bao nhiêu điểm rèn luyện vậy ad,Student_research
mức học phí chuyển tiếp tính kiểu gì ạ,Major_infor
cho e hỏi khoa mk có lấy khối b ko ạ,Admission_method
giờ em bắt đầu ở quê ra ạ,Other
sai ý em rồi,Denydisagree
"ad ơi, tham gia nckh thì đc gì ạ?",Student_research
em vẫn chả hiểu gì,Denydisagree
giải nhất nckh thif đc bn tiền vậy ạ?,Student_research
"ad ơi, ad cho em biết những ưu tiên ma fkhoa có đc khi tham  gia nckh ạ?",Student_research
mong sẽ sớm nhận được câu trả lời ạ  e cảm ơn anh/chị rất nhiều,Bye
học bổng  a.yersin thì đc giảm bao nhiêu phần trăm học phí ạ?,Scholar
e mất giấy tờ xe thì có làm đc vé xe tháng ở lsv ko ạ?,Other
giáo viên nước ngoài thường là nam hay nữ ạ,Major_infor
"ad ơi, 1/8 này em nhập học rồi thì phải chuẩn bị những giấy tờ gì ạ?", Enrollment
tiêu chuẩn xét học bổng của tr ntn ạ,Scholar
ad ơi. cho em hỏi điểm vào kinh doanh quốc tế là bao nhiêu ạ???,Basic_point
"em mất số đt của anh quản lí nhập học ngành quản trị khách sạn thể thao và du lịch rồi ạ, ad cho em xin lại sđt đc k ạ?", Enrollment
ad cho em hỏi năm nay em muốn xét tuyển vào khoa mình thì chỉ tiêu các ngành học là ntn ạ?,Admission_method
"ad ơi, thông tin bổ ích lắm ạ",Other
học bổng xuất sắc thi có những loại gì ạ?,Scholar
em cần tư vấn đc ko ạ,Greetings
ice sau này làm gì ạ,Job_Opportunities
giá trị cho từng suất học bổng là bn ạ?,Scholar
em có được giấy chứng nhận khi tham gia đề tài không?,Student_research
"a dơi, nếu dc cho em hỏi học phí từng phì của chương trình chuyển tiếp tại đh troy vs ạ/",Major_infor
khoa cung cấp những học bổng nào ạ,Scholar
bây giờ e muốn nộp hồ sơ thì có thể đến cơ sở ở 144 xuân thủy để nộp hay là đến bên 99 ngụt như kon tum để nộp ạ, Enrollment
sau khi chúng em nộp báo cáo tiến độ rồi thì việc tiếp theo chúng em phải làm là gì vậy ạ?,Student_research
năm nay điểm trúng tuyển tin học kỹ thuật ước lượng tầm nào ah,Basic_point
"ad ơi, form miễn nghĩa vụ quân sự khoa mình có k ạ?",Asking_docs
